,NTA,Job created,Total Savings
0,Battery Park City-Lower Manhattan,,469890.79666666663
1,Bushwick South,10.0,26140.454999999998
2,Carroll Gardens-Columbia Street-Red Hook,,24337.39
3,College Point,2.0,17159.37285714286
4,Crown Heights North,,4036.298888888889
5,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,,59950.340000000004
6,East New York,15.0,48433.09333333333
7,East Williamsburg,,13990.626363636366
8,Greenpoint,,9753.649285714286
9,Hunters Point-Sunnyside-West Maspeth,,23931.398933333334
10,Hunts Point,12.0,39246.016153846154
11,Manhattanville,,2760.8888888888887
12,Maspeth,10.0,6658.283333333333
13,Mott Haven-Port Morris,3.3333333333333335,17843.937857142857
14,Queensbridge-Ravenswood-Long Island City,,61830.770625
15,SoHo-TriBeCa-Civic Center-Little Italy,,37214.024
16,Springfield Gardens South-Brookville,,17757.662
17,Steinway,20.0,11227.155714285715
18,Sunset Park West,,14316.976875
19,park-cemetery-etc-Brooklyn,,14327.419333333333
